KMHGN411DJU287584	<Пустое значение>
XWES381CDL0009669	1 - Бампер передний: Замена Окраска; 2 - Накладка нижняя бампера переднего: Замена; 3 - Датчик парктроника передний правый крайний: Диагностика; 4 - Подкрылок передний правый: Замена; 5 - Фара передняя правая: Замена; 6 - ПТФ передняя правая: Замена; 7 - Бачок омывателя: Замена; 8 - Пыльник бампера переднего: Замена; 9 - Панель передняя: Замена
XWES381CDL0011352	1 - стекло опускное двери пер. прав.: Замена
XWEJ3813DM0017785	1 - Защита днища автомобиля пластик: Замена
XWEL341BBL0000458	1 - Стекло ветровое: Замена
XWES381CDL0010710	1 - Облицовка бампера переднего: Окраска; 2 - Расширитель арки крыла перед. лев: Замена; 3 - Крыло перед. лев: Окраска Ремонт 2н/ч
XWEJ3813DL0014474	"1 - Дверь задняя левая: Окраска Ремонт 3,0н/ч"
XWES381CDL0010676	1 - стекло двери задней лев: Замена
XWEDC41FBK0005480	"1 - облицовка бампера заднего : Окраска Ремонт 1,0н/ч"
XWEL341BBL0001388	1 - Облицовка бампера заднего: Окраска; 2 - Крыло зад прав: Окраска; 3 - Дверь зад прав: Окраска; 4 - Накладка двери зад прав: Окраска; 5 - Накладка порога прав: Окраска
XWES381CDL0011603	1 - бампер задний: Диагностика; 2 - спойлер зад бампера: Замена
Z94K241CBMR237407	1 - Облицовка переднего бампера: Замена Окраска; 2 - Решетка радиатора: Замена; 3 - Блок фара левая: Замена; 4 - Капот: Диагностика; 5 - Крыло переднее левое: Окраска Ремонт 1.5 н/ч; 6 - Наполнитель переднего бампера: Замена; 7 - Усилитель переднего бампера: Замена; 8 - Накладка рамки радиатора верх.: Замена; 9 - Дефлектор радиатора левый: Диагностика; 10 - Рамка радиатора левая часть: Диагностика; 11 - Дефлектор воздухосборника : Замена; 12 - Наконечник лонжерона левый передний : Диагностика
XWES381CDL0008573	<Пустое значение>
XWEL341BBL0001390	1 - Облицовка пер бампера : Замена Окраска; 2 - Крыло пер лев: Замена Окраска; 3 - Диск перлев: Окраска
XWEJ381BDM0002549	1 - бампер задний: Окраска; 2 - накладка заднего бампера: Замена; 3 - защитная пластина зад бампера: Диагностика
XWES381CDL0010714	<Пустое значение>
KMHWH81KBLU094112	1 - Облицовка бампера переднего : Окраска; 2 - Накладка бампера переднего нижняя : Окраска; 3 - крыло переднее левое : Диагностика; 4 - Корпус фары передней левой : Диагностика
XWES381CDL0010440	1 - Задний бампер : Окраска; 2 - Заднее парвое крыло: Окраска; 3 - накладкаЗадняя првая арка: Замена
